co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.5,pmx_co,True,100,0.5,rank,1107,100
0.5,pmx_co,True,100,0.7,tournament,1107,100
0.5,pmx_co,True,100,0.7,rank,1107,100
0.5,pmx_co,True,100,0.9,tournament,1107,100
0.5,pmx_co,True,100,0.9,rank,1107,100
0.5,pmx_co,True,400,0.1,tournament,1107,100
0.5,pmx_co,True,400,0.1,rank,984,100
0.5,pmx_co,True,400,0.3,tournament,932,100
0.5,pmx_co,True,400,0.3,rank,919,100
0.5,pmx_co,True,400,0.5,tournament,919,100
0.5,pmx_co,True,400,0.5,rank,919,100
0.5,pmx_co,True,400,0.7,tournament,919,100
0.5,pmx_co,True,400,0.7,rank,919,100
0.5,pmx_co,True,400,0.9,tournament,919,100
0.5,pmx_co,True,400,0.9,rank,919,100
0.5,pmx_co,True,700,0.1,tournament,919,100
0.5,pmx_co,True,700,0.1,rank,919,100
0.5,pmx_co,True,700,0.3,tournament,918,100
0.5,pmx_co,True,700,0.3,rank,918,100
0.5,pmx_co,True,700,0.5,tournament,918,100
0.5,pmx_co,True,700,0.5,rank,918,100
0.5,pmx_co,True,700,0.7,tournament,918,100
0.5,pmx_co,True,700,0.7,rank,918,100
0.5,pmx_co,True,700,0.9,tournament,918,100
0.5,pmx_co,True,700,0.9,rank,918,100
0.5,pmx_co,True,1000,0.1,tournament,918,100
0.5,pmx_co,True,1000,0.1,rank,918,100
0.5,pmx_co,True,1000,0.3,tournament,915,100
0.5,pmx_co,True,1000,0.3,rank,915,100
0.5,pmx_co,True,1000,0.5,tournament,915,100
0.5,pmx_co,True,1000,0.5,rank,915,100
0.5,pmx_co,True,1000,0.7,tournament,915,100
0.5,pmx_co,True,1000,0.7,rank,915,100
0.5,pmx_co,True,1000,0.9,tournament,915,100
0.5,pmx_co,True,1000,0.9,rank,915,100
0.5,pmx_co,False,100,0.1,tournament,1169,100
0.5,pmx_co,False,100,0.1,rank,1064,100
0.5,pmx_co,False,100,0.3,tournament,1123,100
0.5,pmx_co,False,100,0.3,rank,1086,100
0.5,pmx_co,False,100,0.5,tournament,1355,100
0.5,pmx_co,False,100,0.5,rank,1817,100
0.5,pmx_co,False,100,0.7,tournament,2089,100
0.5,pmx_co,False,100,0.7,rank,2541,100
0.5,pmx_co,False,100,0.9,tournament,2254,100
0.5,pmx_co,False,100,0.9,rank,2684,100
0.5,pmx_co,False,400,0.1,tournament,1261,100
0.5,pmx_co,False,400,0.1,rank,1144,100
0.5,pmx_co,False,400,0.3,tournament,1071,100
0.5,pmx_co,False,400,0.3,rank,1068,100
0.5,pmx_co,False,400,0.5,tournament,1563,100
0.5,pmx_co,False,400,0.5,rank,1825,100
0.5,pmx_co,False,400,0.7,tournament,2079,100
0.5,pmx_co,False,400,0.7,rank,2571,100
0.5,pmx_co,False,400,0.9,tournament,2353,100
0.5,pmx_co,False,400,0.9,rank,2780,100
0.5,pmx_co,False,700,0.1,tournament,1124,100
0.5,pmx_co,False,700,0.1,rank,1032,100
0.5,pmx_co,False,700,0.3,tournament,940,100
0.5,pmx_co,False,700,0.3,rank,917,100
0.5,pmx_co,False,700,0.5,tournament,1505,100
0.5,pmx_co,False,700,0.5,rank,1892,100
0.5,pmx_co,False,700,0.7,tournament,2133,100
0.5,pmx_co,False,700,0.7,rank,2563,100
0.5,pmx_co,False,700,0.9,tournament,2416,100
0.5,pmx_co,False,700,0.9,rank,2772,100
0.5,pmx_co,False,1000,0.1,tournament,1225,100
0.5,pmx_co,False,1000,0.1,rank,1140,100
0.5,pmx_co,False,1000,0.3,tournament,1069,100
0.5,pmx_co,False,1000,0.3,rank,1087,100
0.5,pmx_co,False,1000,0.5,tournament,1632,100
0.5,pmx_co,False,1000,0.5,rank,2114,100
